stateabb,state,m_electors_st,f_electors_st,t_electors_st,m_voters_st,f_voters_st,t_voters_st,sex_ratio1,female_voter_turnout1,ln_female_electors,sex_ratio,female_voter_turnout,sex_ratio_hat,ln_f_electors_hat
AD,Andaman & Nicobar Islands,142783,126577,269360,101129,89084,190213,0.88599998,70.379997,11.748606,886,70.379997,67.991867,79.668472
AP,Andhra Pradesh,32676266,32252318,64934136,24264388,23899016,48163704,0.98699999,74.099998,17.289101,987,74.099998,74.211067,64.47728
AR,Arunachal Pradesh,379566,379778,759344,282511,299237,581748,1.001,78.790001,12.847342,1001,78.790001,75.073135,76.655907
AS,Assam,9763621,9073991,18837712,7874627,7208917,15083544,0.92900002,79.449997,16.020924,929,79.449997,70.639648,67.95443
BH,Bihar,34121296,29676576,63800160,18748720,17124396,35873132,0.87,57.700001,17.205868,870,57.700001,67.006645,64.70549
CH,Chandigarh,333621,281593,615214,244907,208415,453322,0.84399998,74.010002,12.548218,844,74.010002,65.405663,77.476059
CT,Chhattisgarh,8946747,8716788,17664520,6321794,5932545,12254339,0.97399998,68.059998,15.980762,974,68.059998,73.410576,68.064545
DD,Daman & Diu,57011,54816,111827,42355,44873,87228,0.96100003,81.860001,10.911737,961,81.860001,72.610085,81.963043
DL,NCT OF Delhi,7051073,5659252,12711164,4648996,3608486,8257636,0.80299997,63.759998,15.548802,803,63.759998,62.881035,69.248909
DN,Dadra & Nagar Haveli,106203,90394,196597,87792,77494,165286,0.85100001,85.730003,11.411933,851,85.730003,65.836693,80.591583
GA,Goa,528308,532469,1060777,394617,420030,814647,1.008,78.879997,13.18528,1008,78.879997,75.504173,75.729332
GJ,Gujarat,21229088,19373730,40603104,14189922,11513175,25703172,0.91299999,59.43,16.779428,913,59.43,69.654427,65.874718
HP,Himachal Pradesh,2474430,2335639,4810071,1564350,1528573,3092923,0.94400001,65.449997,14.663796,944,65.449997,71.563293,71.675461
HR,Haryana,8716547,7380686,16097233,6350299,5142918,11493217,0.847,69.68,15.814377,847,69.68,65.590393,68.520744
JH,Jharkhand,10710644,9639126,20349796,6859701,6122832,12982533,0.89999998,63.52,16.081341,900,63.52,68.853935,67.788773
JK,Jammu & Kashmir,3791735,3391301,7183129,1925713,1638704,3564418,0.89399999,48.32,15.036724,894,48.32,68.484474,70.652954
KA,Karnataka,23584842,22621080,46209812,16148545,14876307,31025020,0.95899999,65.760002,16.934393,959,65.760002,72.486931,65.449829
KL,Kerala,11734275,12592375,24326650,8668316,9283321,17951636,1.073,73.720001,16.348602,1073,73.720001,79.50663,67.055984
LK,Lakshadweep,25433,24489,49922,21584,21655,43239,0.963,88.43,10.105979,963,88.43,72.733238,84.17231
MH,Maharashtra,42770992,38026912,80798824,26622180,22046720,48669152,0.889,57.98,17.453804,889,57.98,68.176598,64.025688
ML,Meghalaya,777639,789602,1567241,525328,552658,1077986,1.015,69.989998,13.579285,1015,69.989998,75.935204,74.649033
MN,Manipur,871417,902952,1774369,686536,727951,1414487,1.036,80.620003,13.713425,1036,80.620003,77.22831,74.281242
MP,Madhya Pradesh,25312600,22807628,48121300,16723283,12898006,29621412,0.90100002,56.549999,16.942606,901,56.549999,68.915512,65.427315
MZ,Mizoram,346219,355951,702170,212673,213477,426150,1.028,59.970001,12.782548,1028,59.970001,76.735695,76.833565
NL,Nagaland,600518,582454,1182972,528703,510521,1039224,0.97000003,87.650002,13.275005,970,87.650002,73.164276,75.483322
OD,Odisha,15194304,14000556,29196044,11073291,10430276,21503644,0.921,74.5,16.454607,921,74.5,70.147034,66.765335
PB,Punjab,10327188,9280738,19608160,7259668,6584638,13844306,0.89899999,70.949997,16.043451,899,70.949997,68.792358,67.892662
PY,Puducherry,432048,469289,901357,351544,388189,739750,1.086,82.720001,13.058974,1086,82.720001,80.307121,76.075645
RJ,Rajasthan,22648052,20346580,42994656,14593373,12440783,27034156,0.898,61.139999,16.828423,898,61.139999,68.730782,65.740387
SK,Sikkim,191017,179753,370770,153370,146197,299567,0.94099998,81.330002,12.099339,941,81.330002,71.378563,78.706818
TN,Tamil Nadu,27571992,27539534,55114868,20223800,20331224,40555456,0.99900001,73.830002,17.131134,999,73.830002,74.949982,64.9104
TR,Tripura,1217578,1171244,2388822,1029407,982333,2011740,0.96200001,83.870003,13.973577,962,83.870003,72.671661,73.56794
UK,Uttarakhand,3749011,3377989,7127057,2264005,2113064,4377071,0.90100002,62.549999,15.032791,901,62.549999,68.915512,70.663734
UP,Uttar Pradesh,75961832,62841616,138810560,44969984,36081816,81052080,0.82700002,57.419998,17.956127,827,57.419998,64.358864,62.648392
WB,West Bengal,32689480,30143134,62833112,26868996,24704436,51573496,0.92199999,81.959999,17.221468,922,81.959999,70.208611,64.66272
